,label,text
10,0.0,"ủng hộ dài dài, nhân viên thế giới di động xinh sắn,  nhiệt tình thân thiện nhưng cái phím bấm không nhạy cho lắm !!!!"
11,1.0,Sau 1 tuần sử dụng thì máy xài ổn . Pin trâu . Loa to . Sóng wifi . Hay 4g đều tốt. Ko có gì phải phàn nàn 
12,1.0,"Đóng gói chắc chắn, giao hàng \nnhanh"
13,-1.0,Shop giao hang nhanh\nSản phẩm rất chất lượng như hình chụp\nMình đã mua nhiều lần và rất 😊 
14,1.0,Hàng về... ship khá nhanh... thơm lắm... mùi không bị nồng... gói hàng khá kĩ nhưng mà vốn nắp bị lệch nên nó trào ra ngoài... hơi thất vọng xíu...
15,1.0,"Giao hàng nhanh đóng gói cẩn thận, chất kuowngj sản phẩm phù hợp với giá !!!"
16,1.0,Nhân viên tư vấn nhiệt tình.Mới mua xài mấy hôm chưa sử dụng hết chức năng nhưng thấy máy rất OK.pin trâu xem phim nghe nhạc thoải mái mái k hết để nạpGiá vừa túi tiền
17,-1.0,"Rất rất tệ,tệ hơn chữ tệ,không có gì tệ bằng.chơi game hay thậm chí xem youtube hay lướt web đều lag,máy rất rất rất tệ,mong mọi người đừng nên mua,mua về bỏ thùng rác chứ không được tích sự gì cả.nó vô dụng hơn cái điện thoại cũ nữa"
18,1.0,Son hơi khô mối xíu. Thoa dưỡng môi trước rồi son thì đỡ hon nè. Tạm ok!
19,1.0,Tuyệt vời 
20,1.0,"Ốp xinh lắm ớ,giao đúng màu,đúng mẫu ,đúng slg luôn ,mn nên mua nhé😍😍😍😍😍😍🤣🤣🤣🤣🤣"
21,1.0,"Mua cho bác dùng thấy ổn trong tầm giá, em nhân viên Kiều Tâm siêu thị Số 271, đường Quang Trung, P. Tân Thịnh, TP. Thái Nguyên, T. Thái Nguyên tư vấn nhiệt tình. 😁😁😁"
22,1.0,Giao hàng nhanh Shop giao hàng nhầm một chiếc nhưng đã hỗ trợ back lại tiền
23,1.0,"kiểu dáng đẹp, pin tốt chụp khá đẹp, giá phù hợp. với tầm tiền 7tr như vậy là chấp nhận được."
24,1.0,chat luong san pham tuyet voi dong goi san pham chac chan shop phuc vu tot
25,1.0,Mình mới mua đc mấy ngày thấy mọi thứ đều ổn
26,1.0,"Case của shop vẫn uy tín như mọi lần trước mình mua nhưng lần này ship lâu lắm ạ. Đặt từ 5/4 đến 10/4 mới nhận được, không biết có phải do mình thanh toán airpay không 🥺 Nói chung ốp vẫn rất xinhh ạ 💕"
27,1.0,"Hàng y hình shop chụp\nNgày sx : in trên bao bì. \nHsd:6 tháng kể từ ngày sx\nChào các bạn. nếu mình chưa ib kịp , có việc j cần gấp thì alo mình nha, 0981236389\nđịa chỉ ở : Miêu Nha - Tây Mỗ- Nam TL- Hà Nội nha"
28,1.0,Hàng chuẩn nha mọi người \nShop gói hàng siêu cẩn thận luôn\nGiao hàng cũng nhanh nữa 
29,1.0,"Hình aenh và video minh hoạ . Ốp đẹp , rẻ , giao hàng hơi lâu 😍😍😍😍"
30,-1.0,"Lỗi phầm mềm , sạc pin ko vào , đem ra bảo trì thì cài lại máy ._. Vẫn ko hết lỗi , mua quả máy 4tr100k ram 3gb về để chơi pubg lag vãi chưởng "
31,1.0,Ốp cứ bị xinh ý săn sale còn rẻ nữa nhiều ốp ở ngoài bán 20-50k còn mình săn sale ở shop thì chưa đến 10k sịn lắm ý cứ bị thích heeeeeeee cảm ơn shop nhiều nha
32,0.0,"Ốp đẹp, nhưng cái này hơi mỏng. Dày 1 chút thì ưng nữa. Đây là lần thứ hai mua ở đây, shop nhiệt tình lắm nè"
33,-1.0,Chơi game con master ko tôi ưu được cái gốc dưới  bi y như hình co ai bi giôg minh ko vây mn
34,-1.0,Mọi thứ tạm được....cảm biến vân tay đôi khi bị lộ không được... còn cam trước chụp đêm siêu xấu luôn mờ rồi nhoè nữa....chán thất vọng 
35,-1.0,Mik mới mua máy được 1 tuần.Mình để qua đêm thì máy hao mất 3 %. Máy mới mua mà pin đã vậy rồi.
36,1.0,"Ui ưng dã man , nền và kẻ mắt chống nước nha mọi người , nền lâu xuống tone , tệp da , đẹp lắm nha , xnbxbdbdbdbdhdhdhdhdhd"
37,-1.0,"Khá mềm với hơi mỏng ấy .-. , sợ dùng dễ rách ốp vch =))) nma nó có cái chặn ở 4 đầu cạnh máy nên cucng khá ok "
38,1.0,"Đóng gói sản phẩm cẩn thận, giao hàng khá là nhanh. Chất lượng so với giá tiền khá là ổn. "
39,1.0,Ốp khá dẻo vừa đt . Đóng gói hàng cẩn thận. Nói chung là ok. Cho shop 4 sao
40,1.0,"Hàng oke lắm ạ, giao hàng cũng nhanh nữa, mà do mình lười chụp hihi"
41,1.0,Mình sử dụng sản phẩm này cũng mấy ngày zoiiii rất tốt tuy có điều hơi hơi bị lát nhưng mình vẫn thích mong là sản phẩm tốt hơn đặc biệt hơn là nhân viên phục vụ rất tốt mình rất hài lòng
42,0.0,Mua cái màu vàng đồng về ai cũng bảo xinh nha  Mà có nên cập nhật IOS 13.3 không ? Chứ giờ pin sài cũng hết hơi nhanh ?
43,1.0,"Rất mượt mà khi chơi liên quân ,tầm giá khá tốt, còn được tặng kèm tai nghe buds, nv tgdd nhiệt tình, chu đáo "
44,0.0,"Samsung a51 thích hợp cho nữ sài..máy thiết kế tuyệt đẹp thời thượng trạng bị 4 camera sau ,1 đục lổ. Máy nhẹ dễ cầm trên tay.Màng hình đẹp màu sắc rực rỡ độ sáng cao để 30% độ sáng đủ dùng.Camera đủ dùng k ấn tượng cho lắm, hiệu năng máy dùng fb,zalo, cài phim ngon chứ chơi game k phê lắm ...muốn chơi game mua a71 .nhược điểm pin 4000 k đủ sài 1 ngày dài dùng ít hay nhiều sạc 1 lần. Giá máy khá cao tầm 6tr đẹp."
45,1.0,"Ốp siêu xinhh, ổn áp lắmmmmmm, muốn mua hết tất cả các ốp luôn áaa"
46,0.0,Da mua tai dienmayxanh máy đẹp màu sắc rực rỡ chơi game kha mượt không có ghi phải chê cả 
47,1.0,Máy mượt vân tay cảm biến nhanh PIN tạm ổn màn hình đẹp xem youtube nét nói chung hơn a31 một chút 
48,1.0,"Đã mua hàng ở tgdđ cách đây 2 năm, hơn 22tr, điện thoại dùng bền,đẹp, mượt. Mình xài kỷ nên máy gần như mới 100%, pin mới hao có 7% còn 93% "
49,1.0,Chất lượng sản phẩm tuyệt vời. HÀNG giao trc lịch. Nói chung là tốt.  Kk sk kkk giúp khjkskabssk nnhksisns
50,1.0,"Đóng gói sp tốt, được tặng kèm phiếu giảm giá cho lần mua sau, chất son mịn nhưng k lì. "
51,-1.0,"Máy mua về 1 ngày thì bị tự treo rồi tắt nguồn ,tự khởi động lại . đem xuống nv test ko bị ,đem về nhà lại bị ., qua tháng thứ 2 nó bị liên tục ngày bị cả chục lần , nản ko biết nói so .hỏi nv tổng đì kĩ thuật thì nói tìm máy khác canh nó chuẩn bị đơ quay clip lại để đem xuống làm bằng chứng để bảo hành .mua cái máy dùng mà zờ phải tìm cái khác để cnh nó đơ để e đi bảo hành .SAI LẦM KHI NGHE NV TƯ VẤN NÀY TƯ VẤN NỌ , ngon lắm bền lắm ok lắm . zờ thì như thế này"
52,1.0,"Ốp ở Shincase là khỏi bàn rùi, đẹp xỉu mn ơi, cảm ơn shop nhiều ạ"
53,-1.0,cảm ứng không nhạy.màn hình nhất kém chất lượng.chơi game lag nog mấy nữa.nói chung là qua tệ
54,1.0,"Mình mới bắt đầu sử dụng, mong là sẽ trắng sáng hơn :))) hàng chính hãng"
55,1.0,Đi mua điện thoại thằq e thấy sản phẩm quá ngon và nhận viên rất nhiệt tình và thân thiện là quá tuyệt vời 😄
56,1.0,"Giao hàng nhanh, đóng gói cẩn thận."
57,1.0,"Giá cả tốt, giao hàng nhanh, đóng gói cản thận chắc chắn, khá ưng"
58,1.0,"Ốp phù hợp vs giá tiền, đóng gói sản phẩm rất đẹp, ship hàng nhanh "
59,0.0,"Mình cần nhượng lại phòng ở số 16 Hoàng Công Chất gần GOLD MARK không chung chủ\n-Giá phòng :2tr1 ( Cọc 1 đóng 1 hỗ trợ cọc các b 300 nếu chuyển luôn được tuần này)\nPhòng gồm :\n+ Tủ , giường, nóng lạnh , điều hoà đầy đủ \n+ máy giặt sử dụng free\n+ Điện giá dân, an ninh tốt\n+ wifi 40k\n+ Nước 80k\n+ Cách"
60,1.0,Giá cả phù hợp \nKhông có giảm giá thì được hoàn xu\nNói chung là thấy khá ok \nMùa đông HN rất cần em nó :)))))
61,1.0,Shop đóng gói hàng rất cẩn thận và chắc chắn. \nHãng vaserline thì dưỡng rất tốt. Mình tin tưởng sử dụng.\nThank shop nhé.
62,-1.0,Sau hơn 6 tháng sử dụng máy bị giật lang rất khó chịu vào fb messenger zalo thôi mà cũng bị đơ 1 lúc. Pin tạm ổn
63,1.0,"Ship siêu nhanh, sản phẩm siêu chất lg không phải bàn cãi gì luôn ah"
64,1.0,"Mua dc giá rẻ,nhưng ko ưng cái kính cường lực,nhìn cũ mà xước. Dc cái shop đóng gói kĩ ,đủ hàng"
65,1.0,Đúng mẫu mã đặt\nGiao hàng nhanh chóng\nĐóng gói chắc chắn\nMẫu đẹp
66,1.0,Tuyệt vời
67,1.0,"Ốp đẹp, xịn,ốp dẻo nhưng vẫn có độ cứng nhất định. Sau quay lại mua tiếp :))"
68,1.0,"Trước giờ vẫn có định kiến với smart phone Trung Quốc, nhưng từ khi dùng Xiaomi 8A tôi đã có cái nhìn khác.Sản phẩm này có viên pin trên cả tuyệt vời, thoải mái dùng trong 2 ngày không sợ hết pin.Cấu hình đủ để dùng fb, youtube, bản đồ, web, xem phim...Loa ngoài to, rõ ràng, tuy chất âm không hay nhưng nghe to là ok vì tôi không dùng nó để giải trí. :Nếu bạn đang cần 1 chiếc máy phụ thì Xiaomi 8A là một lựa chọn đứng đắn."
69,1.0,"Giao hàng nhanh, đóng gói cẩn thận, chính hãng nên yên tâm, mùa nắng nên mua này để bảo vệ da"
70,1.0,"Đóng gói sản phẩm chắc chắn, hàng dùng tốt, tiền nào của nấy :))"
71,1.0,"Shop giao đủ hàng. Nhận được hàng cực kì ưng ý, lần sau sẽ ủng hộ thêm. "
72,1.0,siêu sinh luôn cả nhà ơi mua đi mua đi
73,1.0,"Vận chuyển nhanh, sp ok"
74,1.0,Xài rất ok
75,1.0,Hàng tốt chất lượng ok giá cả rất hợp lý nói chung là rất ưng !!!
76,1.0,"Quá tuyệt luôn, máy ảnh chụp đẹp, hiệu năng ổn định, ưng nhất quả màn vì chạy ứng dụng hay đi dưới trời nắng thì A51 quá đỉnh rồi về màn luôn🥰🥰"
77,1.0,Mình xài chai này đến chai t2 rồi. Thấy mùi thơm nhấttrong tất cả các dòng của vaseline. Còn trắng thì kh đáng kể mấy chắc là phải lâu dài
78,0.0,"Mua đc 2 ngày ... Mọi thứ rất ok, camera ổn, pin trâu, sạc cũng nhanh, ko thấy lỗi camera .......ngoài lỗi cảm biến tiệm cận"
79,0.0,Shop giao hàng thiếu nhưng khi nhắn tin shop đã chuyển lại 🥰 sản phẩm tốt shop dễ thương nên mua nha mọi người 
80,1.0,"Shop nice muốn xỉu, cho shop ngàn sao luôn. ☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆"
81,-1.0,"Quảng cáo hoài phiền khủng khiếp luôn, biết vậy mua vivo là được, chán, còn các vấn đề còn lại tạm"
82,1.0,Xinh giao đủ giao nhanh mua shop lần thứ N ròi ạ 🥰🥰❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️
83,1.0,"Máy sài rất được,pin tốt, phù hợp cho việc đọc sách cả ngày liền, nhân viên ok. Nhưng tôi vẫn còn thắc mắc, có thể trao đổi thêm ko"
84,1.0,Ốp siêu đẹp mua ko biết bao nhiều lần của shop rồi lần nào cũng ưng ý hết giá rẻ so với thị trường rất rất nhiều 🥰🥰🥰🥰
85,1.0,"Giao hàng nhanh, giao đúng sản phẩm cần mua. \nĐóng gói kĩ càng. "
86,1.0,Lần nào cũng mua ốp chỗ shop nên ưng khỏi bàn nữaaaaaaaaaaaaaaa
87,1.0,"Ốp mỏng giá siu rẻ nhưng hơi lỏng lẻo ko ưng cho lắm, ship hàng dịp lễ hơi lâu"
88,0.0,"Không thấy có snow motion, chống rung nữa .hiển thị kém chán ghê. Nhưng vẫn cho 5 sao vì nhân viên xinh gái "
89,1.0,Shop giao hàng nhanh chóng. Hàng đúng đủ y hình. Chất lượng tốt. Sẽ ủng hộ shop dài dài. Các bạn yên tâm mua hàng nhé
90,1.0,Khuyên các bạn khi mua nên đến cửa hàng tgdđ mua và trải nghiệm tại đó..đừng xem bình luận...Có nhiều người chê bởi vì đơn giản là những người khó tính..mình trải nghiệm qua 6 tháng cảm thấy rất hài lòng..nói chung là cấu hình mạnh chơi game không lắc..màng hình đẹp. Loa nghe rõ và ấm..pin thì 3 ngày sạc 2 lần..chụp hình cũng rất đẹp...mình mua lúc trước chưa giảm giá là 10.490.000d. Cảm thấy bỏ ra đồng tiền xứng đáng...còn ai nói gì thì kệ..tiền nào của nấy. So với những hãng điện thoại khác thì samsung có 1 chỗ đứng chỉ sau iphone
91,1.0,Sản phẩm rất tốt...nhân viên rất nhiệt tình...đặc biệt chị Vy tgdđ ở trần hưng đạo kon tum tư vấn hỗ trợ rất nhiệt tình
92,1.0,"Hàng tốt các bạn ạ , các bạn nên mua để có làn da đẹp nha . Ggggggg\n"
93,1.0,"Ổn trong tầm giá ,pin trâu , cam tạm , màn hình ổn độ sáng cao ,nói chung là ok ,hài lòng"
94,-1.0,Mới mua về được vài ngày pin tuột nhanh hơn lúc đầu mà vô liên quân cứ bị đứng máy 
95,1.0,"Giao hàng lâu, ốp đẹp giống hình, đóng gói chắc chắn nhìn dễ thương......."
96,1.0,Sản phẩm chất lượng tốt giao hàng nhanh sẽ quay lại ủng hộ shop nha 
97,0.0,"dùng chưa đầy 1 tháng, ngày sạc 2 lần và không sạc qua đêm, mọi thứ đều ổn trừ pin"
98,0.0,Liên ơi em có một vài bạn đã có những thứ đó là những thứ đó là những thứ đó là những thứ đó là những thứ đó là những thứ đó là những thứ đó là những thứ đó là những thứ đó là những 
99,1.0,"Mới mua được 3 ngày và trải nghiệm game liên quân, call of duty không giật lap. Về pin thì OK cùng với sạc nhanh"
100,1.0,"Phù hợp với giá tiền, hơi mỏng xíu nhưng giá v là quá okkkkkkkk"
101,-1.0,"Sản phẩm quá tệ..máy chậm, xóa tn cả 5p mới xong, không nhận đc tn từ người khác"
102,1.0,"Tốt, lì nsjshsshshshsusushshsusjnsjsjsjsjsjjssjsssss"
103,0.0,đóng gói khá ổn nhưng mà vẫn thấy bị rò chảy sữa ra ấy. \n\nnhưng k sao ạ
104,-1.0,Máy  mh mới mua 1 tuần  cảm biến vân tay có lúc  dc lúc kj.lâu lâu bị treo máy. Hơi kj hài lòng.
105,-1.0,"Sau khi sử dụng thì mình đánh giá như sau, nếu so sánh với vsmart live về mọi mặt thì a50s chẳng những ko hơn được mà còn thua kém vài thứ, mình đã cầm hai máy trong tay để so sánh thì kết quả cho ra rất bất ngờ, nói về camera trước và sau thì a50s có thông số cao hơn nhưng chụp ko đẹp và nét bằng vsmart live, pin trâu và sạc nhanh cũng là vsmart live, nói về con chíp thì vsmart live cũng mạnh hơn a50s rất nhiều, màn hình ko khuyết tật của vsmart live cũng đẹp và cân bằng hơn a50s, và a50s chỉ thắng vsmart live ở chỗ thương hiệu thôi vì chị gái của mình trung thành với ss nên mình mới mua a50s thôi, mình cho 3 sao vì a50s đắt gần gấp đôi so với vsmart live, mọi người nên cân nhắc trước khi mua nhé."
106,1.0,mua mấy lần của shop rồi lần nào hàng cũng ok lắm nhéeeeeeeeeeeee
107,0.0,"Điện thoại mới mua sài tạm ổn nhưng pin chắc do hàng để lâu nên pin chai rồi, pin yếu lắm mn ạ"
108,-1.0,"Máy sài tháng cảm thấy thất vọng , hiện tượng đơ yếu dựt từ từ , màn lúc tự tối tự sáng , vào coi youtube không đc nữa đã cập nhật test các kiểu, chán k nói tớiL"
109,-1.0,"Không nên mua , vân tay chán kinh khủng luôn , tầm giá này mua con Vivo s1pro miễn trê"
110,0.0,Máy dùng cũng ok nhưng chơi game hơi dật .......................................
111,0.0,đã nhận được
112,1.0,"Quá tuyệt vời,  mọi ng ch dùng e nó sao biết,  với mình,  nó hoàn toàn đầy đủ đáp ứng mọi nhu cầu,  tuy chip p90 khôg thiên về game,  nhưg nó cân bằg lại rất tốt về mọi mặt và nhiệt độ,  máy dùng quá mượt.  Sạc nhanh,  pin quá ngon"
113,1.0,Chất lượng sp tuyệt vờiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii
114,1.0,Shop giao hành nhanh phục vụ khách hàng tốttt gói cẩn thậnnnnnnn
115,1.0,"Ốp dẻo xinh, gói hàng đẹp,k bít dùng có bị ố k nhưng thấy mềm ok lắm."
116,1.0,Hàng chất lượng sai rất ok cho thế giới đi đông 5 sao .Mình mua hơn 4 tháng mà thấy rất tuyệt vời thanks nhà bạn hàng số 1 Viêt Năm.
117,1.0,Hơi mỏng nhưng với giá đấy thì rất hợp lí\nBdndbdjdndbdkdbdkdbdk dkd
118,0.0,Sản phẩm sau 1 tuần mình sử dụng thì về camera thì ok sài cũng được về âm thanh thì đối với mình thì mình thấy tạm được về game thì bao mượt cho chiến thoải mái. Túm lại là máy sài tốt
119,-1.0,Từ khi cập nhật Adroid10 bị lag đơ các kiểu loa thì bé xạc pin thì lâu.chỉ muốn đập cả máy.mua tám triệu mà ko bằng con opop 4 triệu
120,0.0,Mới mua trải nghiệm thử 1 tuần Tưởng ngon lắm ai dè loa thì nhỏ còn bị rè nữa chứ.Độ sáng thì chạy không điềuChỉ đc cái cấu hình đẹp 
121,0.0,"Mới dùng đc mấy tháng thấy máy cũng đc, nghe fm ko tai nghe rất tốt, pin thì ko đc trâu ngày nào cũng phải sạc. Còn bền ko thì chưa biết"
122,1.0,"Siêu sinh, hàng dễ thương,đả mua lần 2, sẽ gom hàng với bạn mua lần 3"
123,1.0,"dùng tốt, chơi game rất sướng, chụp ảnh cũng cực đẹp, ăn đứt note 10+, mọi người tham khảo"
124,0.0,"Tạm ổn.camera thua cái đt 1020 cách đây gần 10 năm. Hình chụp không nét, thiếu chống rung quang học.Mình thấy hiếm có đt nào bằng đc 1020.chụp điện thoại cách dưới 3m là chụp rõ cả sợi lông, chụp cái quạt đang chạy là chụp rõ cái cánh quạt đang dừng "
125,1.0,Ốp xinh lắm ạ giao hàng nhanh nữa hihihihi chúc shop buôn may bán đắt 🌹🌹🌹
126,0.0,"Máy dùng tốt , cực thích màn hình cong nhưng lại chưa có miếng dán màn hình , pin nếu như không game thì dùng từ 7h30 đến 6h vẫn còn 20% , màn hình của máy thì xem video khá là mờ mình cũng không hiểu sao"
127,1.0,Đã nhận được hàng. Gói kỉ lưỡng. Đúng mẫu mã đúng số ml. Chưa thử lên da nhưng nghĩ sẽ ổn. 
128,1.0,"Khác biệt, sang trọng, chức năng hoàn hảo. Camera góc rộng tuyệt vời Pin được lâu"
129,0.0,Vẫn thích kiểu thiết kế Huyền thoại hơn vừa nhỏ gọn vừa mỏng nếu như thiết kế kiểu 2007 sẽ mua vài cái 
130,1.0,Máy dùng rất tốt ổn định... Ko lỗi chơi game rất mượt mà ổn định không nóng máy .... Nói chung ai chơi game nên mua máy này. Camera thì cũng rất ok .. Pin trâu sạc nhanh . Nhân viên bán nhiệt tình 
131,-1.0,có ai giống mình k?cảm giác như màn hình bị mờ vậy??cài hình nền mà cứ như ở trong sương vậy mình mòi mua lúc chiều thôi.
132,-1.0,"máy mới dùng 2 tháng, sạc pin xong máy nóng ran, không dùng nữa đi ngủ , sáng ra dùng được 20 phút máy lại nóng ran không hiểu nổi"
133,0.0,Máy tốt  với mức giá vậy ổn r pin ok  sạc nhanh  coi phim ok lướt fabook tốt chơi game hơi lát lắm 
134,1.0,Ốp xinh lắm nha. Vì đang dùng nên không tiện chụp . Nên mua nhaa
135,-1.0,Máy mua từ cỡ 9/1 sài rất dữ dìn nhưng h hư ko cắm tai nghe nghe ko đc. Tai nghe cắm máy khác lạii nghe được . Vậy bây h thì sao ạ . Nếu tự chịu thì . Phải gọi là máy quá dỏm
136,1.0,"Chơi game khá mượt, camera chụp rõ nét. Máy ko quá nóng khi chơi game. Ngại nhất là pin của ip hơi kém. Nên sắm sạc dự phòng. Khá hài lòng với cách phục vụ của nhân viên tgdđ 👍"
137,0.0,Sao e sạc pin mà nó bị nóng máy ạ e mới mua được 2 ngày sài pin ok nhưng sạc bị nóng 
138,1.0,mình mua gần 5 tháng.....máy xài rất ok...không như mọi người nói...tình trạng pin còn 100%
139,1.0,Chất lượng sản phẩm tốt còn có cả đồ tặng kèm cực xinhhhhhhhhh
140,0.0,Ốp xinh mà vì có 5k nên hơi mỏng đó nha 🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂a🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂
141,1.0,Chai bự mới dùng một thời gian nên chưa thấy kết quả nhưng mà dưỡng ẩm rất tốt cho năm sao trước
142,1.0,Mới dùng chưa biết thế nào. Thấy tạm ổn trong tầm giáMới dùng chưa biết thế nào. Thấy tạm ổn trong tầm giá.Mới dùng chưa biết thế nào. Thấy tạm ổn trong tầm giá.
143,1.0,Để tạm cái ảnh. Mua tặng ny thấy ny bảo dùng thích lắm. Cảm ơn shop
144,-1.0,Điện thoại bắt sóng với wifi cực kỳ yếu..giá 9tr hân xứng đáng..mua rồi hối hận hân kịp
145,1.0,Mình hay mua ốp lưng ở đây. Giá rẻ nên chất lượng cũng phù hợp với giá thôi. Nhiều mẫu xinh
146,-1.0,"Lỗi camera,mất 2-3 giây mới mở được camera và mất thêm 2-3 giây nữa để camera hoạt động ổn định.lúc đầu mới mở camera ra thì màn hình đen,sau đó khung cảnh trong camera bị giật,mất vài giây camera mới hoạt động ổn định.nhiều lúc không mở được camera và phải thoát ra để vài lại mới được.còn các ứng dụng khác khi vào rất chậm,chạm vào để mở ứng dụng nhưng chuyển cảnh chậm,mất 2-4 giây mới mở được ứng dụng.máy ảnh chụp không nét như quảng cáo.pin 5020 nhưng máy mới mua,buổi tối sạc đầy 100% lúc 22 giờ đêm sau đó tắt hết ứng dụng ngầm và đi ngủ,6 giờ sáng hôm sau dậy pin sụt 16%.nói chung so sánh về tất cả mọi thứ từ camera,chip,độ ổn định...tất cả đều thua kém redmi note 8pro"
147,1.0,"Shop phục vụ ok, giao đúng hàng vs nhiệt tình................"
148,1.0,"Giao hàng hơi lâu nhưng mà ốp rất đẹp, ốp mềm dẻo k vừa tay cho lắm 🥰🥰"
149,-1.0,"Camera trước xấu. Không có đèn flash trước. Không được bằng v5, v7. Mặc dù cam 32."
150,1.0,"mua ở shop rất nhiều lần luôn mà lần nào cũng quá là ưnggggg 💯 ốp xinh mà còn ship nhanh, thêm shop hỗ trợ khách rất nhiệt tình nữa!!!"
151,1.0,"Đặt lần thứ nnnn ở đây rùi, lúc nào cũng rất yên tâm về sp, ship cũng rất nhanh 👌🏻"
152,1.0,Chất kem đặc thơm nhanh thấm. Mãi iuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuujjjhjnhh
153,1.0,"Packaging từ ngoài vào trong đều rất sang và đẹp. Về chất son, khi mình swatch lên tay thì chất son khá mượt, mịn, lên màu chuẩn, bà nào da trắng thì càng xinh nữa^^Thêm vào đó là son ko mùi nên mình càng thêm thích.Hàng còn tặng cho mình voucher giảm giá cho lần mua tiếp theo😘Sang-xịn-mịn 💯"
154,1.0,"Đọc mấy cái đánh giá thấy mệt wa, tui xài 3thang rồi có bị j đâu , mở khóa cực nhạy. Pin 2ngay mới sạc dù xài toàn 4g, chơi lq . Nói chung ngon trong tầm giá. Mún ngon hơn thì mua máy mấy chục triệu xài  còn tầm giá này vậy là vượt lên mong đợi rồi "
155,-1.0,"Mới mua 5 ngày mà gọi bị lỗi loa. Camera thì lắp lệch, hở toác ra.  Đt 7tr mà màn hình kém quá. Ko phải màm amoled nên hơi chán"
156,1.0,Sản phẩm tốt .pin dùng ok lắm mình sử dung cả ngày 45%. Thái độ phục vu nhân viên tgdd rất nhiệt tình .vui vẻ
157,1.0,"Mùi thơm , bôi lên da thấm nhanh.chỉ có cái m bị viêm lcl không biết dùng mấy hôm xem thế nào, sợ bị thêm chắc ngưng quá"
158,1.0,Sp tốt ae nào đang phân vân giữa con xiaomi note 9s và còn realme 6 về hiệu năng chơi game  thì lên chọn con realme 6 nhé .  Nhiều ng mua xiaomi note 9s muốn đổi lắm lên các bạn đừng đâm đầu vào mua 
159,0.0,Mình mới mua được gần 3 tuần.dùng ổn nhưng pin tụt hơi nhanh so với oppo cũng tầm tiền này.may mà có sạc nhanh..
160,1.0,Ốp 1k rẻ. Màu ghi cũng xấu. Đánh giá nhận xu. 1k shop cũng ko được lãi
161,1.0,"Chờ hơi lâu hơn 15 ngày nhưng mà rất đáng tiền.\nSon khô nhanh, ko khô môi, nhẹ môi. Màu lên chuẩn. "
162,0.0,Mua dc 3 ngày rồi Màu vàng Mới xài bữa đầu okBữa thứ 3 là hơi hao pin rồiĐể theo dõi tiếp xem sao
163,1.0,Rất tốt ok
164,-1.0,Sản phẩm sử dụng pin dưới 20% xem 4g có dấu hiệu trễ mạng. Pin không ổn định sau 1 tuần sử dụng khi update bản 13.3.1
165,1.0,Ốp siu cute còn rẻ nữa :)))) .............................::
166,-1.0,Mình mới mua được 1 ngày giờ muốn đổi có bị trừ j ko ạ máy chơi lien quan cư bị giật rất khó chịu
